pic_name,mean,粉尘能量,粉尘对比度,粉尘熵值,idm,Auto_correlation,std,,mean_s,asm_s,con_s,eng_s,idm_s,Auto_correlation_s,std_s,,mix_d,mix_s,mean_s,烟雾能量,烟雾对比度,烟雾熵值,idm_s,Auto_correlation_s,std_s,,粉尘Tglcm,烟雾Tglcm
31,0.058079958,0.954278938,0.005371094,0.10903234,0.989990234,222.862793,58.60425484,,0.04651165,0.13095732,0.155395508,2.516031733,0.939520264,147.4041748,18.65778868,,79.15356605,393.9029491,0.035733938,0.095375009,0.527770996,2.932271552,0.929266248,90.59924316,12.49481171,,11.07798896,124.7883371
32,0.054794073,0.463987246,0.050537109,1.320570202,0.974487305,200.8117676,40.63779106,,0.038472176,0.106974944,0.127929688,2.567650265,0.945129395,102.9177856,12.13778045,,136.195405,373.9972196,0.032075882,0.074255615,1.189331055,3.51618687,0.734522149,95.81237793,14.5464382,,28.66053865,164.1441946
33,0.057030201,0.55954989,0.041137695,0.814422361,0.976898193,215.0178833,44.56055092,,0.042130947,0.081555992,0.182678223,2.843749174,0.936706543,124.5578003,12.95610968,,66.62494234,458.8975408,0.038514853,0.0679603,0.295349121,3.106266631,0.904007497,109.9766235,11.69296846,,22.35499614,165.6295554
34,0.052873373,0.454587258,0.048461914,1.06189815,0.975585938,184.7521362,37.16499518,,0.054728746,0.305222526,0.081298828,1.481954852,0.957965088,198.361145,31.74117695,,109.1930033,198.9720607,0.042674065,0.10770373,0.466430664,2.868775107,0.917797181,125.9772339,15.53043233,,27.79208677,111.8554769
36,0.056210279,0.439483851,0.051940918,1.029672117,0.975860596,208.9673462,38.76480477,,0.048164129,0.129649065,0.178222656,2.476596398,0.930767822,156.7824707,18.7600185,,110.9597446,412.9173895,0.033838749,0.061093107,0.413513184,3.277019714,0.894309058,87.62121582,8.79253701,,28.42173438,184.204818
37,0.056144714,0.455652125,0.099914551,1.223850234,0.963708496,208.8726807,40.07756432,,0.047349691,0.132615104,0.135742188,2.41144166,0.950268555,151.4207153,18.50669987,,176.7343616,363.624843,0.029947996,0.037402712,0.571899414,3.662320399,0.819470933,72.64355469,6.525310536,,29.06496391,291.3908895
38,0.057792425,0.812802248,0.01574707,0.382871993,0.988220215,220.6242065,54.05163165,,0.047646046,0.121655963,0.16986084,2.565468704,0.950848389,154.6033325,18.23387175,,27.24595512,414.2421139,0.039466143,0.098754391,0.378417969,3.045612286,0.900965074,112.7593384,14.54636273,,14.37494625,120.2735612
39,0.054551125,0.367875099,0.042236328,1.433369973,0.982666016,197.8238525,35.87023142,,0.049707651,0.185234226,0.071655273,1.943782015,0.969207764,164.838501,22.03423739,,148.7858155,247.5100523,0.031212091,0.055740759,0.663513184,3.468834118,0.870561637,78.22711182,8.793867546,,34.77235227,203.3812377
40,0.05427146,0.303529553,0.124755859,1.64215956,0.954888916,195.5996704,31.78463683,,0.05057621,0.190494768,0.11932373,2.040121342,0.952026367,170.6896362,23.09187275,,258.61886,304.2863878,0.042993307,0.082399651,0.288208008,2.950567256,0.898126221,129.380188,14.00228298,,42.40407748,138.9946531
41,0.054997921,0.345542178,0.106201172,1.479403332,0.965075684,200.7201538,34.32538033,,0.050780773,0.18930839,0.134399414,2.198926541,0.934606934,174.0588989,24.4565628,,219.5872874,335.3612292,0.045740843,0.101766475,0.370544434,2.953668029,0.911259578,144.4667969,16.58322449,,37.39905553,116.7379726
